카테고리,바코드,제조사,상품명,제품 재질 1,제품 재질 2,제품 재질 3
요구르트,8801121762837,매일유업,매일유업 바이오플레인 저지방 450g,플라스틱,,
요구르트,8801155977528,동원에프앤비,동원F&B 소와나무 생크림요거트 기획 85g*8,플라스틱,비닐류,
요구르트,8801069411767,남양유업,남양 떠먹는 불가리스 플레인 10입 기획 85G*10,플라스틱,비닐류,
요구르트,8801207050131,롯데푸드,롯데푸드 파스퇴르 쾌변요구르트사과 150ml*3,플라스틱,,
요구르트,8801115215141,서울우유협동조합,서울우유 짜요짜요딸기 40g*6,비닐류,,
요구르트,8801104250672,빙그레,빙그레_요플레_85G*10입기획,플라스틱,비닐류,
요구르트,8801121765388,매일유업,상하 유기농베이비(플레인) 85g*4,플라스틱,비닐류,
요구르트,8809274514563,풀무원다논,풀무원다논_그릭달지않은플레인_450G,플라스틱,,
요구르트,8809274511111,풀무원다논,풀무원 다논 그릭요거트플레인 95g*4,플라스틱,비닐류,
요구르트,8809274514587,풀무원다논,풀무원다논_아이러브요거트생크림_80G*4,플라스틱,비닐류,
요구르트,8801121510179,매일유업,매일유업 바이오 백도 85g*4,플라스틱,비닐류,
요구르트,8801155428419,동원에프앤비,동원F&B 소와나무 비피더스명장 150ml*4,플라스틱,,
요구르트,8801115215240,서울우유협동조합,서울우유 짜요짜요포도맛 40g*6,비닐류,,
요구르트,8801069217895,남양유업,남양유업 요구르트 65ml*20,플라스틱,,
요구르트,8801128230094,hy,한국야쿠르트 윌저지방 150ml*5,플라스틱,,
요구르트,8801121772393,매일유업,매일 엔요100 (플레인) 100ML*5,플라스틱,,
요구르트,8809274512705,풀무원다논,풀무원다논_그릭달지않은플레인_95G*4,플라스틱,비닐류,
요구르트,8801155741617,동원에프앤비,덴마크 드링킹 요구르트 딸기 750ml,플라스틱,,
요구르트,8801104241717,빙그레,빙그레 요플레기획 10입 85g*10,플라스틱,비닐류,
요구르트,8809274511319,풀무원다논,풀무원 다논 액티비아 화이트 (8컵) 90g*8,플라스틱,비닐류,
요구르트,8801104307024,빙그레,빙그레 바이오플레 기획 140ml*12입,플라스틱,,
요구르트,8801121774052,매일유업,매일 엔요100(플레인)기획 100ML*15,플라스틱,,
요구르트,8809274511234,풀무원다논,풀무원다논_요그릭블루베리_95G*4,플라스틱,비닐류,
요구르트,8801115213628,서울우유협동조합,서울우유 비요뜨 쿠키앤크림 136g*2,플라스틱,비닐류,
요구르트,8801121510100,매일유업,매일유업 바이오딸기 85g*4,플라스틱,비닐류,
요구르트,8801069411231,남양유업,남양유업_이오_80ML*10,플라스틱,,
요구르트,8801121772416,매일유업,매일엔요요구르트100ml,플라스틱,,
요구르트,8801157492753,일동후디스,일동후디스 그릭요거트 플레인 80g*4,플라스틱,비닐류,
